ID,Zip Code,Population
1,90001,54492
2,90002,44586
3,90003,58198
4,90004,67852
5,90005,43019
6,90006,62784
7,90007,45025
8,90008,30852
9,90010,1957
10,90011,101215
11,90012,30596
12,90013,9732
13,90014,3524
14,90015,15140
15,90016,46984
16,90017,20692
17,90018,47143
18,90019,67520
19,90020,42394
20,90021,3012
21,90022,68701
22,90023,47487
23,90024,44150
24,90025,41175
25,90026,73686
26,90027,48727
27,90028,30568
28,90029,41713
29,90031,38415
30,90032,46960
31,90033,49431
32,90034,58218
33,90035,27799
34,90036,32901
35,90037,56709
36,90038,32562
37,90039,29310
38,90040,9805
39,90041,27866
40,90042,64672
41,90043,44764
42,90044,87383
43,90045,39334
44,90046,49839
45,90047,47107
46,90048,21739
47,90049,33523
48,90056,8115
49,90057,44004
50,90058,3642
51,90059,38128
52,90061,24511
53,90062,29299
54,90063,55668
55,90064,24505
56,90065,47534
57,90066,55204
58,90067,2527
59,90068,21728
60,90069,20408
61,90071,21
62,90077,10470
63,90201,105285
64,90210,21397
65,90211,8321
66,90212,11355
67,90220,47305
68,90221,51387
69,90222,29825
70,90230,31963
71,90232,15195
72,90240,24908
73,90241,40152
74,90242,42459
75,90245,16041
76,90247,47758
77,90248,9960
78,90249,26442
79,90250,93315
80,90254,18693
81,90255,78114
82,90260,33300
83,90262,69850
84,90263,11
85,90265,19630
86,90266,33758
87,90270,28094
88,90272,22548
89,90274,24979
90,90275,41263
91,90277,34191
92,90278,37322
93,90280,96267
94,90290,5451
95,90291,31021
96,90292,18058
97,90293,11264
98,90301,37527
99,90302,30779
100,90303,27778
101,90304,28680
102,90305,13779
103,90401,5221
104,90402,11509
105,90403,23559
106,90404,19975
107,90405,26099
108,90501,40705
109,90502,17058
110,90503,41979
111,90504,31678
112,90505,34873
113,90601,32050
114,90602,26265
115,90603,19109
116,90604,37887
117,90605,38181
118,90606,32148
119,90620,44442
120,90621,33528
121,90623,15505
122,90630,47344
123,90631,67354
124,90638,47568
125,90640,62425
126,90650,103214
127,90660,63288
128,90670,16271
129,90680,29694
130,90701,16398
131,90703,51556
132,90704,3699
133,90706,72893
134,90710,24660
135,90712,30173
136,90713,27563
137,90715,20890
138,90716,14852
139,90717,21065
140,90720,21343
141,90723,55306
142,90731,58639
143,90732,21279
144,90740,24180
145,90742,1107
146,90743,174
147,90744,53323
148,90745,55486
149,90746,25566
150,90802,38427
151,90803,31352
152,90804,43467
153,90805,91664
154,90806,49647
155,90807,31556
156,90808,37417
157,90810,35656
158,90813,63136
159,90814,19034
160,90815,38902
161,90822,425
162,91001,36243
163,91006,30028
164,91007,30933
165,91010,27414
166,91011,20200
167,91016,41067
168,91020,7527
169,91024,10558
170,91030,23984
171,91040,18752
172,91042,26753
173,91101,16812
174,91103,27891
175,91104,38460
176,91105,10253
177,91106,23742
178,91107,32369
179,91108,13158
180,91201,23981
181,91202,21990
182,91203,14493
183,91204,17015
184,91205,41390
185,91206,31297
186,91207,9864
187,91208,16910
188,91214,29110
189,91301,25303
190,91302,23661
191,91303,23519
192,91304,49242
193,91306,43857
194,91307,23637
195,91311,35325
196,91316,27614
197,91320,37779
198,91321,30742
199,91324,25751
200,91325,32307
201,91326,28067
202,91331,97318
203,91335,68018
204,91340,33389
205,91342,81986
206,91343,57017
207,91344,48867
208,91345,17112
209,91350,40077
210,91351,59259
211,91352,46639
212,91354,17846
213,91355,24977
214,91356,27424
215,91360,42526
216,91361,18735
217,91362,33057
218,91364,25988
219,91367,36123
220,91377,14814
221,91381,9937
222,91384,22177
223,91401,40376
224,91402,66249
225,91403,22085
226,91405,51348
227,91406,50047
228,91411,23646
229,91423,29387
230,91436,13129
231,91501,18112
232,91502,11517
233,91504,25882
234,91505,29245
235,91506,18539
236,91601,36625
237,91602,16996
238,91604,26157
239,91605,57146
240,91606,45358
241,91607,27453
242,91701,39064
243,91702,57775
244,91706,76890
245,91709,66754
246,91710,75319
247,91711,34716
248,91722,33817
249,91723,17554
250,91724,25068
251,91730,51970
252,91731,30211
253,91732,62660
254,91733,45645
255,91737,23079
256,91739,12937
257,91740,25135
258,91741,24973
259,91743,13
260,91744,84965
261,91745,53686
262,91746,30802
263,91748,46342
264,91750,35530
265,91752,18980
266,91754,33280
267,91755,26933
268,91759,47
269,91761,56280
270,91762,54254
271,91763,34447
272,91764,49474
273,91765,46532
274,91766,69974
275,91767,46626
276,91768,36057
277,91770,61623
278,91773,33878
279,91775,23444
280,91776,38041
281,91780,32718
282,91784,23331
283,91786,48827
284,91789,45118
285,91790,44099
286,91791,30458
287,91792,31622
288,91801,54382
289,91803,30635
290,91901,16486
291,91902,17389
292,91905,1509
293,91906,3133
294,91910,74025
295,91911,71126
296,91913,12884
297,91914,2606
298,91915,9278
299,91916,1587
300,91917,727
301,91931,796
302,91932,26662
303,91934,699
304,91935,8759
305,91941,44652
306,91942,24005
307,91945,24961
308,91948,81
309,91950,62355
310,91962,1604
311,91963,905
312,91977,56100
313,91978,7863
314,91980,91
315,92003,3849
316,92004,2863
317,92007,10375
318,92008,35582
319,92009,43161
320,92014,13945
321,92019,40995
322,92020,55277
323,92021,61872
324,92024,47126
325,92025,49281
326,92026,43436
327,92027,48690
328,92028,42239
329,92029,17944
330,92036,3577
331,92037,42617
332,92040,42277
333,92054,98239
334,92056,52895
335,92057,46893
336,92059,1831
337,92060,234
338,92061,2615
339,92064,47969
340,92065,33104
341,92066,339
342,92067,7615
343,92069,52664
344,92070,1143
345,92071,53510
346,92075,12173
347,92078,6760
348,92082,14575
349,92083,62036
350,92084,44692
351,92086,1205
352,92091,1072
353,92101,27505
354,92102,47140
355,92103,30202
356,92104,47689
357,92105,73006
358,92106,18525
359,92107,27959
360,92108,11650
361,92109,46086
362,92110,24169
363,92111,46828
364,92113,47431
365,92114,66838
366,92115,56887
367,92116,33083
368,92117,51213
369,92118,24093
370,92119,21866
371,92120,25569
372,92121,4258
373,92122,34902
374,92123,25232
375,92124,30206
376,92126,74232
377,92127,20046
378,92128,42733
379,92129,47224
380,92130,28201
381,92131,29283
382,92139,36351
383,92154,68776
384,92173,28488
385,92201,56307
386,92203,2743
387,92210,3873
388,92211,19702
389,92220,25859
390,92223,17721
391,92225,24659
392,92227,23394
393,92230,2355
394,92231,27804
395,92233,7857
396,92234,43141
397,92236,23170
398,92239,964
399,92240,22796
400,92241,5529
401,92242,1564
402,92243,43712
403,92249,3535
404,92250,8062
405,92251,14546
406,92252,8141
407,92253,23971
408,92254,8768
409,92256,3499
410,92257,2753
411,92258,732
412,92259,471
413,92260,29340
414,92262,24924
415,92264,18884
416,92266,291
417,92267,131
418,92268,354
419,92270,12465
420,92273,1632
421,92274,17018
422,92275,799
423,92276,6242
424,92277,17178
425,92278,14104
426,92280,50
427,92281,2388
428,92282,805
429,92283,3663
430,92284,20486
431,92285,2182
432,92301,18980
433,92304,42
434,92305,301
435,92307,31876
436,92308,28819
437,92309,904
438,92310,9465
439,92311,31293
440,92313,11024
441,92314,9899
442,92315,5447
443,92316,25995
444,92317,2150
445,92318,227
446,92320,7334
447,92321,455
448,92323,40
449,92324,52202
450,92325,10484
451,92327,678
452,92328,443
453,92332,115
454,92333,414
455,92335,82630
456,92336,54586
457,92337,29847
458,92338,23
459,92339,958
460,92341,317
461,92342,4948
462,92345,68515
463,92346,48245
464,92347,1933
465,92352,9793
466,92354,18068
467,92356,5256
468,92358,1090
469,92359,7324
470,92363,5488
471,92364,162
472,92365,2899
473,92368,909
474,92371,12463
475,92372,4280
476,92373,31230
477,92374,36675
478,92376,75882
479,92377,18518
480,92382,5395
481,92384,87
482,92386,1834
483,92389,117
484,92392,63235
485,92394,12083
486,92397,4253
487,92398,1195
488,92399,41575
489,92401,1779
490,92404,53636
491,92405,24644
492,92407,49355
493,92408,12149
494,92410,44556
495,92411,23146
496,92501,18999
497,92503,71678
498,92504,46550
499,92505,38446
500,92506,42425
501,92507,48649
502,92508,17147
503,92509,63999
504,92518,1005
505,92530,38519
506,92532,4546
507,92536,2433
508,92539,3745
509,92543,29687
510,92544,39264
511,92545,25694
512,92548,4283
513,92549,3588
514,92551,22983
515,92553,61205
516,92555,12743
517,92557,46214
518,92561,1500
519,92562,36149
520,92563,18311
521,92567,7344
522,92570,36817
523,92571,26357
524,92582,4456
525,92583,21349
526,92584,14068
527,92585,8692
528,92586,18161
529,92587,13151
530,92590,3070
531,92591,25655
532,92592,46171
533,92595,19368
534,92596,4093
535,92602,2762
536,92604,27369
537,92606,17621
538,92610,10936
539,92612,41062
540,92614,22499
541,92618,6301
542,92620,26419
543,92624,7465
544,92625,13422
545,92626,48207
546,92627,62069
547,92629,27730
548,92630,59176
549,92646,56517
550,92647,58764
551,92648,42663
552,92649,32304
553,92651,25206
554,92653,48273
555,92655,8660
556,92656,41237
557,92657,5597
558,92660,28687
559,92661,4242
560,92662,3124
561,92663,22133
562,92672,34946
563,92673,15297
564,92675,34321
565,92676,1859
566,92677,62103
567,92679,32268
568,92683,88230
569,92688,42193
570,92691,46371
571,92692,46227
572,92694,350
573,92701,58157
574,92703,70011
575,92704,91188
576,92705,44117
577,92706,37879
578,92707,62634
579,92708,54548
580,92780,55062
581,92782,17494
582,92801,60553
583,92802,45086
584,92804,81333
585,92805,68802
586,92806,34398
587,92807,36301
588,92808,19629
589,92821,34055
590,92823,1408
591,92831,34592
592,92832,24502
593,92833,46105
594,92835,21157
595,92840,50641
596,92841,31428
597,92843,43491
598,92844,23481
599,92845,15878
600,92860,22443
601,92861,5935
602,92865,18058
603,92866,15396
604,92867,40915
605,92868,23172
606,92869,37916
607,92870,48170
608,92879,44875
609,92880,16998
610,92881,21911
611,92882,60294
612,92883,13188
613,92886,39458
614,92887,20893
615,93001,32899
616,93003,46894
617,93004,27381
618,93010,42853
619,93012,24945
620,93013,17409
621,93015,16013
622,93021,32984
623,93022,6503
624,93023,21633
625,93030,79736
626,93033,77791
627,93035,25322
628,93040,1459
629,93041,25634
630,93060,32511
631,93063,49027
632,93065,64802
633,93066,2966
634,93067,576
635,93101,31727
636,93103,20893
637,93105,25771
638,93108,12741
639,93109,10986
640,93110,15757
641,93111,16477
642,93117,49975
643,93201,1054
644,93202,2872
645,93203,16206
646,93204,14697
647,93205,1954
648,93206,2078
649,93207,226
650,93208,191
651,93210,18036
652,93212,23506
653,93215,37280
654,93216,4425
655,93218,823
656,93219,9318
657,93221,13333
658,93222,1526
659,93223,8644
660,93224,626
661,93225,4498
662,93226,296
663,93230,53204
664,93234,6918
665,93235,4517
666,93238,1873
667,93239,1809
668,93240,5564
669,93241,15364
670,93242,2900
671,93243,1247
672,93244,293
673,93245,30419
674,93247,15508
675,93249,2502
676,93250,10781
677,93251,302
678,93252,4357
679,93254,798
680,93255,655
681,93256,4198
682,93257,65566
683,93260,266
684,93261,2956
685,93262,56
686,93263,15177
687,93265,3546
688,93266,1729
689,93267,5689
690,93268,14937
691,93270,5868
692,93271,2318
693,93272,2951
694,93274,56101
695,93276,236
696,93277,44741
697,93280,22760
698,93282,63
699,93283,1935
700,93285,2515
701,93286,8870
702,93287,88
703,93291,36718
704,93292,30395
705,93301,12963
706,93304,44588
707,93305,35643
708,93306,53481
709,93307,59195
710,93308,44915
711,93309,58632
712,93311,20440
713,93312,40836
714,93313,25126
715,93401,27047
716,93402,14859
717,93405,31982
718,93420,24499
719,93422,29539
720,93424,812
721,93426,1363
722,93427,4644
723,93428,6526
724,93429,210
725,93430,3220
726,93432,1203
727,93433,13106
728,93434,5726
729,93435,28
730,93436,51737
731,93437,6165
732,93440,1328
733,93441,1317
734,93442,10909
735,93444,15405
736,93445,7435
737,93446,35586
738,93447,804
739,93449,8564
740,93450,670
741,93451,2666
742,93452,471
743,93453,2687
744,93454,30540
745,93455,37364
746,93458,43684
747,93460,5710
748,93461,1255
749,93463,7958
750,93465,7918
751,93501,4882
752,93505,8316
753,93510,7831
754,93512,340
755,93513,1826
756,93514,13309
757,93516,2241
758,93517,826
759,93518,1022
760,93522,64
761,93523,7685
762,93526,734
763,93527,2213
764,93528,207
765,93529,618
766,93530,71
767,93531,1436
768,93532,2771
769,93534,35109
770,93535,57794
771,93536,49309
772,93541,504
773,93543,11198
774,93544,1220
775,93545,1910
776,93546,8217
777,93549,318
778,93550,67232
779,93551,34045
780,93552,25370
781,93553,1613
782,93554,117
783,93555,29782
784,93560,14931
785,93561,25805
786,93562,1991
787,93563,413
788,93591,6787
789,93601,1968
790,93602,3464
791,93603,273
792,93604,613
793,93605,273
794,93606,807
795,93608,1766
796,93609,5446
797,93610,19391
798,93611,46858
799,93612,33856
800,93614,9395
801,93615,5519
802,93616,1965
803,93618,24206
804,93620,9388
805,93621,506
806,93622,9491
807,93623,77
808,93624,1852
809,93625,5635
810,93626,1125
811,93627,152
812,93628,93
813,93630,14062
814,93631,14088
815,93634,52
816,93635,29124
817,93637,28434
818,93638,49247
819,93640,9174
820,93641,571
821,93643,3376
822,93644,8521
823,93645,173
824,93646,8449
825,93647,9780
826,93648,12587
827,93650,3258
828,93651,1314
829,93652,265
830,93653,972
831,93654,25923
832,93656,5729
833,93657,28991
834,93660,4318
835,93662,26213
836,93664,642
837,93665,343
838,93666,306
839,93667,2633
840,93668,1130
841,93669,327
842,93673,646
843,93675,3146
844,93701,13858
845,93702,47999
846,93703,31180
847,93704,26580
848,93705,35451
849,93706,35790
850,93710,29337
851,93711,36274
852,93720,45087
853,93721,6848
854,93722,60889
855,93725,21010
856,93726,39148
857,93727,54701
858,93728,16346
859,93901,35739
860,93905,58548
861,93906,53946
862,93907,22292
863,93908,13027
864,93920,1006
865,93921,2966
866,93923,13121
867,93924,6691
868,93925,1140
869,93926,9023
870,93927,14204
871,93928,254
872,93930,14477
873,93932,538
874,93933,21759
875,93940,32857
876,93950,15449
877,93953,4602
878,93954,521
879,93955,38244
880,93960,13003
881,93962,407
882,94002,25566
883,94005,3635
884,94010,40346
885,94014,47453
886,94015,63337
887,94019,17929
888,94020,1622
889,94021,148
890,94022,18486
891,94024,21496
892,94025,39062
893,94027,6876
894,94028,6601
895,94030,20350
896,94037,2346
897,94038,3064
898,94040,32143
899,94041,13483
900,94043,27822
901,94044,38885
902,94060,2055
903,94061,35737
904,94062,25569
905,94063,32368
906,94065,10658
907,94066,39566
908,94070,28098
909,94074,291
910,94080,60599
911,94086,64010
912,94087,50070
913,94089,16985
914,94102,28998
915,94103,23036
916,94104,384
917,94105,2066
918,94107,17372
919,94108,13723
920,94109,56330
921,94110,74641
922,94111,3337
923,94112,73117
924,94114,30587
925,94115,33122
926,94116,42959
927,94117,38756
928,94118,38955
929,94121,42476
930,94122,55504
931,94123,22920
932,94124,33177
933,94127,20643
934,94129,2240
935,94130,1458
936,94131,27906
937,94132,26297
938,94133,26831
939,94134,40137
940,94301,16198
941,94303,45499
942,94304,1723
943,94305,13386
944,94306,24492
945,94401,32488
946,94402,23393
947,94403,37926
948,94404,31882
949,94501,58555
950,94502,13996
951,94506,19777
952,94507,15187
953,94508,3641
954,94509,90891
955,94510,25578
956,94511,2379
957,94512,138
958,94513,26577
959,94514,10153
960,94515,7384
961,94517,14239
962,94518,27394
963,94519,18650
964,94520,36186
965,94521,39888
966,94523,32685
967,94525,3193
968,94526,32873
969,94530,23141
970,94533,77683
971,94535,9978
972,94536,66543
973,94538,56126
974,94539,46917
975,94541,60274
976,94542,11147
977,94544,72993
978,94545,27311
979,94546,41698
980,94547,22479
981,94549,23996
982,94550,75929
983,94552,13212
984,94553,46677
985,94555,33883
986,94556,16510
987,94558,63947
988,94559,26894
989,94560,42491
990,94561,27607
991,94563,17964
992,94564,16717
993,94565,78816
994,94566,36669
995,94567,494
996,94568,29636
997,94569,173
998,94571,5246
999,94572,8506
1000,94574,9423
1001,94576,223
1002,94577,41871
1003,94578,36568
1004,94579,19815
1005,94580,26240
1006,94583,44078
1007,94585,39279
1008,94586,790
1009,94587,66472
1010,94588,28568
1011,94589,42209
1012,94590,37218
1013,94591,51665
1014,94592,159
1015,94595,18024
1016,94596,40917
1017,94598,26022
1018,94599,2873
1019,94601,54876
1020,94602,28900
1021,94603,31392
1022,94605,42854
1023,94606,41876
1024,94607,21054
1025,94608,24589
1026,94609,21097
1027,94610,29964
1028,94611,36517
1029,94612,11702
1030,94618,15438
1031,94619,24518
1032,94621,30751
1033,94702,15638
1034,94703,19763
1035,94704,21205
1036,94705,12448
1037,94706,15882
1038,94707,11889
1039,94708,10737
1040,94709,10147
1041,94710,8157
1042,94801,28450
1043,94803,25399
1044,94804,39089
1045,94805,13984
1046,94806,55720
1047,94901,40239
1048,94903,28403
1049,94904,12010
1050,94920,13065
1051,94922,584
1052,94923,1785
1053,94924,1573
1054,94925,9038
1055,94928,42544
1056,94929,330
1057,94930,8486
1058,94931,7936
1059,94933,1025
1060,94937,1004
1061,94938,821
1062,94939,6773
1063,94940,406
1064,94941,28727
1065,94945,16429
1066,94946,607
1067,94947,24741
1068,94949,13361
1069,94950,248
1070,94951,3777
1071,94952,31930
1072,94954,35419
1073,94956,1885
1074,94960,16849
1075,94963,548
1076,94964,6448
1077,94965,11213
1078,94970,781
1079,94971,384
1080,94972,66
1081,94973,1449
1082,95002,2147
1083,95003,24227
1084,95004,3373
1085,95005,6407
1086,95006,10520
1087,95007,1007
1088,95008,44976
1089,95010,9673
1090,95012,8582
1091,95014,54431
1092,95017,857
1093,95018,8728
1094,95019,4753
1095,95020,49968
1096,95023,47514
1097,95030,13290
1098,95032,24443
1099,95033,10172
1100,95035,62848
1101,95037,41707
1102,95039,899
1103,95041,77
1104,95043,813
1105,95045,3402
1106,95046,5671
1107,95050,36349
1108,95051,52986
1109,95054,13031
1110,95060,43192
1111,95062,36631
1112,95064,4563
1113,95065,8365
1114,95066,14574
1115,95070,30589
1116,95073,9823
1117,95076,81141
1118,95110,18197
1119,95111,57748
1120,95112,52334
1121,95113,561
1122,95116,51706
1123,95117,29914
1124,95118,31926
1125,95119,10155
1126,95120,37090
1127,95121,37127
1128,95122,59841
1129,95123,59632
1130,95124,45257
1131,95125,46185
1132,95126,27023
1133,95127,60620
1134,95128,32804
1135,95129,37570
1136,95130,13481
1137,95131,26389
1138,95132,40568
1139,95133,26032
1140,95134,9657
1141,95135,15798
1142,95136,36944
1143,95138,14792
1144,95139,7023
1145,95140,38
1146,95148,44103
1147,95202,7071
1148,95203,16357
1149,95204,30476
1150,95205,34138
1151,95206,49657
1152,95207,49965
1153,95209,30814
1154,95210,40611
1155,95212,6951
1156,95215,23789
1157,95219,19109
1158,95220,6317
1159,95221,676
1160,95222,4264
1161,95223,5159
1162,95224,115
1163,95225,27
1164,95226,75
1165,95227,722
1166,95228,2633
1167,95230,596
1168,95231,5094
1169,95232,21
1170,95233,335
1171,95236,3148
1172,95237,3205
1173,95240,45755
1174,95242,22073
1175,95245,2718
1176,95246,1692
1177,95247,4353
1178,95249,3930
1179,95250,88
1180,95251,460
1181,95252,11266
1182,95254,304
1183,95255,2198
1184,95257,435
1185,95258,4176
1186,95301,27808
1187,95303,809
1188,95305,167
1189,95306,986
1190,95307,32881
1191,95310,2144
1192,95311,2271
1193,95312,55
1194,95313,1508
1195,95315,10159
1196,95316,5513
1197,95317,808
1198,95318,579
1199,95320,11474
1200,95321,3680
1201,95322,7872
1202,95323,1055
1203,95324,7177
1204,95325,128
1205,95326,6822
1206,95327,9559
1207,95328,2130
1208,95329,1749
1209,95330,10834
1210,95333,3256
1211,95334,12672
1212,95335,683
1213,95336,36738
1214,95337,19867
1215,95338,10226
1216,95340,59289
1217,95345,433
1218,95346,1278
1219,95348,23100
1220,95350,52872
1221,95351,47536
1222,95354,27135
1223,95355,47613
1224,95356,26055
1225,95357,13343
1226,95358,30668
1227,95360,8504
1228,95361,25384
1229,95363,15536
1230,95364,235
1231,95365,4150
1232,95366,12646
1233,95367,16525
1234,95368,12466
1235,95369,1158
1236,95370,25340
1237,95372,1519
1238,95374,1960
1239,95376,69801
1240,95379,3979
1241,95380,40545
1242,95382,24708
1243,95383,4848
1244,95385,274
1245,95386,8308
1246,95387,899
1247,95388,11463
1248,95389,1750
1249,95401,36125
1250,95403,40270
1251,95404,35057
1252,95405,22250
1253,95407,30876
1254,95409,25718
1255,95410,1054
1256,95412,747
1257,95415,1374
1258,95417,176
1259,95419,436
1260,95420,333
1261,95421,1575
1262,95422,13485
1263,95423,3684
1264,95424,103
1265,95425,9210
1266,95426,1591
1267,95427,371
1268,95428,2296
1269,95429,91
1270,95430,187
1271,95431,363
1272,95432,383
1273,95436,6216
1274,95437,14417
1275,95439,476
1276,95441,2349
1277,95442,4101
1278,95443,175
1279,95444,390
1280,95445,1916
1281,95446,4913
1282,95448,17979
1283,95449,1373
1284,95450,438
1285,95451,9902
1286,95452,1653
1287,95453,11180
1288,95454,2706
1289,95456,882
1290,95457,2644
1291,95458,3002
1292,95459,586
1293,95460,2229
1294,95461,7789
1295,95462,1537
1296,95463,148
1297,95464,2223
1298,95465,1880
1299,95466,1113
1300,95468,1352
1301,95469,1884
1302,95470,5995
1303,95471,298
1304,95472,31266
1305,95476,34314
1306,95480,30
1307,95481,109
1308,95482,30988
1309,95485,2344
1310,95488,309
1311,95490,13472
1312,95492,23701
1313,95493,240
1314,95494,335
1315,95497,752
1316,95501,23224
1317,95502,183
1318,95503,23570
1319,95511,261
1320,95514,199
1321,95519,15921
1322,95521,19596
1323,95524,1689
1324,95525,1584
1325,95526,695
1326,95527,485
1327,95528,1072
1328,95531,23792
1329,95536,2965
1330,95537,228
1331,95540,12241
1332,95542,2423
1333,95543,532
1334,95545,82
1335,95546,3041
1336,95547,1201
1337,95548,1215
1338,95549,264
1339,95550,155
1340,95551,1447
1341,95552,265
1342,95553,867
1343,95554,644
1344,95555,494
1345,95556,574
1346,95558,300
1347,95559,163
1348,95560,1851
1349,95562,3284
1350,95563,660
1351,95564,395
1352,95565,1125
1353,95567,2020
1354,95568,202
1355,95569,400
1356,95570,2369
1357,95571,270
1358,95573,1666
1359,95585,321
1360,95587,200
1361,95589,743
1362,95595,259
1363,95601,222
1364,95602,18197
1365,95603,24944
1366,95605,12756
1367,95606,382
1368,95607,262
1369,95608,58830
1370,95610,43718
1371,95612,1417
1372,95613,49
1373,95614,3674
1374,95615,699
1375,95616,67411
1376,95618,648
1377,95619,4426
1378,95620,18529
1379,95621,41636
1380,95623,4097
1381,95624,38534
1382,95625,171
1383,95626,6197
1384,95627,2756
1385,95628,40750
1386,95629,850
1387,95630,51855
1388,95631,5714
1389,95632,24194
1390,95633,2536
1391,95634,2723
1392,95635,1140
1393,95636,659
1394,95637,228
1395,95638,1745
1396,95639,213
1397,95640,9752
1398,95641,2010
1399,95642,6202
1400,95645,1793
1401,95646,129
1402,95648,15286
1403,95650,11191
1404,95651,485
1405,95653,844
1406,95655,929
1407,95658,6096
1408,95659,751
1409,95660,32202
1410,95661,25173
1411,95662,32040
1412,95663,2048
1413,95664,1173
1414,95665,4354
1415,95666,5501
1416,95667,34146
1417,95668,901
1418,95669,2220
1419,95670,49729
1420,95672,3815
1421,95673,14010
1422,95674,947
1423,95675,364
1424,95676,383
1425,95677,21510
1426,95678,30614
1427,95681,1219
1428,95682,24738
1429,95683,4731
1430,95684,2958
1431,95685,4610
1432,95686,1472
1433,95687,63157
1434,95688,32564
1435,95689,1273
1436,95690,2344
1437,95691,19050
1438,95692,3600
1439,95693,5889
1440,95694,8406
1441,95695,38547
1442,95701,751
1443,95703,1526
1444,95709,4829
1445,95713,8525
1446,95714,350
1447,95715,185
1448,95717,407
1449,95720,183
1450,95721,69
1451,95722,3747
1452,95726,8577
1453,95728,88
1454,95735,25
1455,95736,31
1456,95742,299
1457,95746,20675
1458,95747,25418
1459,95758,47065
1460,95762,22028
1461,95765,15494
1462,95776,15022
1463,95814,16599
1464,95815,25355
1465,95816,16164
1466,95817,14966
1467,95818,21313
1468,95819,15975
1469,95820,37031
1470,95821,35426
1471,95822,44683
1472,95823,72199
1473,95824,30580
1474,95825,30715
1475,95826,38818
1476,95827,19611
1477,95828,54880
1478,95829,11396
1479,95830,592
1480,95831,42832
1481,95832,9063
1482,95833,31422
1483,95834,8403
1484,95835,854
1485,95836,16
1486,95837,264
1487,95838,34894
1488,95841,20993
1489,95842,31373
1490,95843,36432
1491,95864,23362
1492,95901,38091
1493,95903,5654
1494,95910,118
1495,95912,4796
1496,95913,218
1497,95914,626
1498,95916,1279
1499,95917,3169
1500,95918,1477
1501,95919,1237
1502,95920,303
1503,95922,632
1504,95923,86
1505,95925,262
1506,95926,35808
1507,95928,32848
1508,95930,282
1509,95932,7503
1510,95934,178
1511,95935,614
1512,95936,404
1513,95937,19
1514,95938,3524
1515,95939,587
1516,95941,452
1517,95942,1351
1518,95943,1454
1519,95944,76
1520,95945,23990
1521,95946,9752
1522,95947,2064
1523,95948,9763
1524,95949,17922
1525,95950,531
1526,95951,1931
1527,95953,8695
1528,95954,11168
1529,95955,1146
1530,95956,301
1531,95957,776
1532,95959,17269
1533,95960,565
1534,95961,6439
1535,95962,1519
1536,95963,13706
1537,95965,17782
1538,95966,28382
1539,95968,1254
1540,95969,28318
1541,95970,495
1542,95971,6189
1543,95972,140
1544,95973,26971
1545,95974,74
1546,95975,1601
1547,95977,963
1548,95978,28
1549,95979,844
1550,95981,101
1551,95982,3193
1552,95983,513
1553,95984,73
1554,95986,145
1555,95987,4579
1556,95988,8812
1557,95991,34967
1558,95993,27786
1559,96001,31586
1560,96002,30338
1561,96003,41476
1562,96006,615
1563,96007,21418
1564,96008,899
1565,96009,595
1566,96010,269
1567,96011,265
1568,96013,4552
1569,96014,290
1570,96015,417
1571,96016,344
1572,96017,228
1573,96019,6277
1574,96020,2664
1575,96021,13840
1576,96022,12348
1577,96023,1162
1578,96024,960
1579,96025,2602
1580,96027,2156
1581,96028,1902
1582,96029,84
1583,96031,170
1584,96032,2345
1585,96033,373
1586,96034,392
1587,96035,3357
1588,96037,295
1589,96038,616
1590,96039,1294
1591,96040,397
1592,96041,2511
1593,96044,1026
1594,96046,268
1595,96047,911
1596,96048,734
1597,96050,482
1598,96051,1236
1599,96052,1845
1600,96054,386
1601,96055,3756
1602,96056,1554
1603,96057,1586
1604,96058,816
1605,96059,598
1606,96061,78
1607,96062,830
1608,96063,124
1609,96064,4592
1610,96065,431
1611,96067,7309
1612,96068,240
1613,96069,829
1614,96071,182
1615,96073,4931
1616,96074,263
1617,96075,433
1618,96076,215
1619,96080,26438
1620,96084,459
1621,96085,88
1622,96086,332
1623,96087,528
1624,96088,4231
1625,96090,405
1626,96091,734
1627,96092,439
1628,96093,3749
1629,96094,5896
1630,96096,843
1631,96097,9538
1632,96101,5096
1633,96103,1839
1634,96104,857
1635,96105,650
1636,96106,88
1637,96107,1332
1638,96108,104
1639,96109,1177
1640,96110,132
1641,96112,231
1642,96113,946
1643,96114,3093
1644,96115,124
1645,96116,277
1646,96117,385
1647,96118,1822
1648,96119,85
1649,96120,957
1650,96121,481
1651,96122,4236
1652,96123,61
1653,96124,322
1654,96125,348
1655,96126,227
1656,96128,408
1657,96130,19440
1658,96132,72
1659,96133,116
1660,96134,2595
1661,96136,162
1662,96137,4158
1663,96140,1943
1664,96141,858
1665,96142,1291
1666,96143,4806
1667,96145,4002
1668,96146,942
1669,96148,678
1670,96150,33038
1671,96161,15783
